smiles,parent1_id,reaction_id,zinc_id,source,generation,parent2_id,compound_id,fitness
Cc1cc(C(=O)N(C)Cc2ccccc2)c(N(C(=O)O[C@H]2C[C@H](C)CC[C@@H]2C(C)C)C(=S)NC(=O)C2CCCCC2)cc1Cn1nnc2ccccc2c1=O,83.0,12,ZINC000014588583,mutation,[3],,104.0,-0.2851478193351611
COC(=O)c1cc(/C=C/c2cc([N+](=O)[O-])c3nc(C(=O)Nc4ccc(C(C)=O)cc4)n([C@H](C)CCc4ccccc4)c(=O)c3c2)cc2cc[nH]c12,53.0,77,ZINC001240830365,mutation,[3],,105.0,0.4528268739478022
CCC(=O)N(C(=S)NC(=O)C1CCCCC1)c1cc(Cn2nnc3ccccc3c2=O)ccc1C(=O)N(C)Cc1ccccc1,70.0,26,ZINC000045331639,mutation,[3],,106.0,-0.06095229292504589
CN(Cc1ccccc1)C(=O)c1ccc(Cn2nnc3ccccc3c2=O)cc1N(C(=S)N(C(=O)OCC(F)(F)C(F)F)C(=O)C1CCCCC1)c1cccc(F)c1O,73.0,18,ZINC000002382268,mutation,[3],,107.0,0.6628228732495312
CCCCOc1cccc(OC(=O)N(C)C(=O)c2cccc(NC(=O)Cc3nn(C)c(=O)c4ccccc34)c2NC(=S)N(C(=O)C2CCCCC2)C(=O)[C@@H](O)CC)c1,88.0,23,ZINC000005134415,mutation,[3],,108.0,-0.9687242279409228
CC(=O)c1ccc(NC(=O)C(=O)N[C@H](C)CCc2cccc(C)c2)c(C2CCN(C(=S)Nc3ccn(Cc4ccc(C)cc4)n3)CC2)c1,77.0,32,ZINC000002536519,mutation,[3],,109.0,0.31205277314442964
CC=CC(=O)OCCN(C(=O)C1CCCCC1)C(=S)Nc1cc(Cn2nnc3ccccc3c2=O)ccc1C(=O)N(C)Cc1ccccc1,84.0,18,ZINC000104728100,mutation,[3],,110.0,0.028762476533504944
Cc1ccc(Cl)c(C(=O)OCCCC[C@@H]2CN2)c1,75.0,14,ZINC000169804326,mutation,[3],,111.0,-0.5439591818355052
C[C@H]1C[C@@H]1C(=N)Nc1nsc(N(Cc2ccccc2)C(=O)c2ccc(Cn3nnc4ccccc4c3=O)cc2)n1,52.0,18,ZINC000038457920,mutation,[3],,112.0,-1.204659640545948
CC=C(C)C(=O)N(C(=O)CCCCC)c1cccc(-c2nccn2CCC)c1,54.0,26,ZINC000085866217,mutation,[3],,113.0,0.5489345680702791
Nc1nsc(N(Cc2ccccc2)C(=O)c2ccc(Cn3nnc4ccccc4c3=O)cc2)n1,53.0,11,,mutation,[3],,114.0,-0.3460227692466644
CC(=O)c1ccc(NC(=O)C(=O)N(C2CCN(C(=O)OC3CC3)CC2O)[C@H](C)CCc2ccccc2)c(-c2ccncc2)c1,69.0,12,ZINC000034327620,mutation,[3],,115.0,-1.6841551165079327
COc1cccc(-n2c(C)cn3c4c(=O)n(Cc5ccc(C(=O)N(Cc6ccccc6)c6nc(O[C@@H](C)C(=O)N(C)C)ns6)c(C)c5)c(=O)n(C)c4nc23)c1,74.0,19,ZINC000000330225,mutation,[3],,116.0,-1.7567921099570953
CCCCOc1cccc(OC(=O)N(C)C(=O)c2ccccc2N(C(=O)Nc2ccc(Cl)cc2Cl)C(=S)NC(=O)C2CCCCC2)c1,82.0,31,ZINC000000164882,mutation,"[3, 4, 5]",,117.0,2.006166549748766
CCCCOc1cccc(OC(=O)N(C)C(=O)N(C(=O)OCc2ccccc2F)c2cc(F)cc(OC)c2)c1,60.0,12,ZINC000039475309,mutation,"[3, 4]",,118.0,1.2520414351534488
CCCCCCCCCCOC(=O)N(C(=S)N(C(=O)OC(C)C)C(=O)C1CCCCC1)c1cc(Cn2nnc3ccccc3c2=O)ccc1C(=O)N(C)Cc1ccccc1,54.0,12,ZINC000002041092,mutation,"[3, 4, 5]",,119.0,1.8601762370143438
O=C(Nc1cccc2[nH]ccc12)N(Cc1ccccc1)C(=O)c1ccc(Cn2nnc3ccccc3c2=O)cc1,59.0,,,crossover,[3],54.0,120.0,0.8072770642844913
