smiles,parent1_id,reaction_id,zinc_id,source,generation,parent2_id,compound_id,fitness
COc1ccc(C=NNC(=O)c2cc(C)nn2C)c(C(=O)N=[N+]=[N-])c1OC,5.0,17,,mutation,[2],,62.0,1.0403350522762893
Cn1c(=O)c2c(ncn2CC(=O)N(Cc2ccc(Cl)nc2)C(=O)[C@@H]2C[C@H](O)CN2)n(C)c1=O,9.0,26,ZINC000100497410,mutation,[2],,63.0,-2.4988724749069404
CCN(C(=O)NCCc1cccc(OC(C)(C)C)n1)C(c1ncon1)c1cnn(C)c1C,83.0,93,ZINC000075772089,mutation,[2],,64.0,0.8249650901199646
Cc1cccc(OCC(=O)N(C(=O)c2ccc[nH]2)C(=S)N(Cc2ccc(Cl)nc2)C(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)c1C,51.0,13,ZINC000000158648,mutation,[2],,65.0,0.7458586355479135
O=C(O)N(CC(F)(F)F)C(=O)Cn1nc(-n2cncn2)ccc1=O,1.0,26,ZINC000059091802,mutation,[2],,66.0,-0.6278609425651183
Cc1oncc1CN(CC[NH+](C)C)C(=O)c1ccc(CN(C(=O)C[C@@H](N)C2CCC2)C(=O)[C@@H]2CCO[C@@H]2C)cc1,59.0,13,ZINC000026896311,mutation,[2],,67.0,-1.6101861894217522
CN(CC1(C)CC1)C(=O)[C@@H](c1nc([C@H]2CNC[C@H]2C2CC2)n[nH]1)[C@@H]1CCS(=O)(=O)C1,57.0,52,ZINC000259877538,mutation,[2],,68.0,-1.8105239662948178
CCC(=O)O[C@H](Cc1c(C(C)(O)c2ccc(C)cc2)c(C)nn1CC)C[NH+](C)C,58.0,81,ZINC000001699969,mutation,[2],,69.0,-0.7420684024441863
CC[C@@H](F)C(=N)NC(=O)c1c(C=NNC(=O)c2cc(C)nn2C)c(-n2nnnc2SCC(=CCNc2cccnc2C)c2c(N)n(C)c(=O)n(C)c2=O)cc(OC)c1OC,52.0,,,crossover,[2],55.0,70.0,-1.199684909855255
CC[C@@H](F)C(=N)NC(=O)c1c(C=NNC(=O)c2cc(C)nn2C)ccc(OC)c1OC,55.0,,,crossover,[2],14.0,71.0,0.2548544389326354
Clc1ccc(Cl)nc1,73.0,,,crossover,"[2, 3, 4, 5]",9.0,72.0,2.7995285371536474
Cc1ccccc1-n1nnnc1SCC(=O)c1c(N)n(C)c(=O)n(C)c1=O,80.0,,,crossover,[2],19.0,73.0,0.11954318767617367
Cn1c(=O)c2c(ncn2CC(=O)NCC2CNC(Cl)CC2SC(=O)CCCCC(=O)NC(=O)NC2CC2)n(C)c1=O,54.0,,,crossover,[2],9.0,74.0,-2.322806488515665
Cc1ccccc1-n1nnnc1SCC(=CCNc1cccnc1C)c1c(N)n(C)c(=O)n(C)c1=O,83.0,,,crossover,[2],52.0,75.0,0.8598023118914625
Cn1c(=O)c2c(ncn2CC(=O)NCc2ccc(Cl)nc2)n(C)c1=O,9.0,,,crossover,[2],73.0,76.0,0.08944523079883615
CNc1ccc(Nc2nc(NC(C)C)[nH]c(=O)n2)cc1C#N,63.0,,,crossover,[2],58.0,77.0,0.8222772238139541
COC(=O)CCCOC(=O)CCc1ccco1,50.0,,,crossover,"[2, 3]",67.0,78.0,2.044963353776135
